date,close
11/13/2017,8036.490234
11/20/2017,9330.549805
11/27/2017,11323.2002
12/4/2017,15455.40039
12/11/2017,19140.80078
12/18/2017,13925.7998
12/25/2017,14156.40039
1/1/2018,16477.59961
1/8/2018,13772
1/15/2018,11600.09961
1/22/2018,11786.2998
1/29/2018,8277.009766
2/5/2018,8129.970215
2/12/2018,10551.7998
2/19/2018,9664.730469
2/26/2018,11512.59961
3/5/2018,9578.629883
3/12/2018,8223.679688
3/19/2018,8495.780273
3/26/2018,6844.22998
4/2/2018,7023.52002
4/9/2018,8329.110352
4/16/2018,8802.459961
4/23/2018,9419.080078
4/30/2018,9654.799805
5/7/2018,8723.94043
5/14/2018,8513.25
5/21/2018,7368.220215
5/28/2018,7720.25
6/4/2018,6786.02002
6/11/2018,6499.27002
6/18/2018,6173.22998
6/25/2018,6385.819824
7/2/2018,6773.879883
7/9/2018,6359.640137
7/16/2018,7418.490234
7/23/2018,8218.459961
7/30/2018,7068.48
8/6/2018,6322.69
8/13/2018,6506.07
8/20/2018,6707.26
8/27/2018,7272.72
9/3/2018,6300.86
9/10/2018,6517.18
9/17/2018,6710.63
9/24/2018,6625.56
10/1/2018,6602.95
10/8/2018,6290.93
10/15/2018,6482.35
10/22/2018,6486.39
10/29/2018,6376.13
11/5/2018,6411.27
11/12/2018,5623.54
11/19/2018,4009.97
11/26/2018,4139.878064
12/3/2018,3614.234273
12/10/2018,3252.839026
12/17/2018,3998.980342
12/24/2018,3865.952577
12/31/2018,4076.632685
1/7/2019,3552.953068
1/14/2019,3601.013592
1/21/2019,3583.965763
1/28/2019,3464.013326
2/4/2019,3690.188244
2/11/2019,3673.836293
2/18/2019,3810.427431
2/25/2019,3847.175699
3/4/2019,3951.599828
3/11/2019,4025.22898
3/18/2019,4022.168282
3/25/2019,4105.404296
4/1/2019,5198.89699
4/8/2019,5167.722367
4/15/2019,5314.531453
4/22/2019,5285.139008
4/29/2019,5795.708429
5/6/2019,6972.371523
5/13/2019,8197.689691
5/20/2019,8673.216035
5/27/2019,8742.9581
6/3/2019,7688.077111
6/10/2019,8994.488013
6/17/2019,10855.37102
6/24/2019,10817.1556
7/1/2019,11450.84676
7/8/2019,10256.05828
7/15/2019,10599.1054
7/22/2019,9552.860435
7/29/2019,10970.18422
8/5/2019,11523.57938
8/12/2019,10345.81038
8/19/2019,10138.51767
8/26/2019,9757.970318
9/2/2019,10441.27598
9/9/2019,10347.71291
9/16/2019,10070.39211
9/23/2019,8104.185676
9/30/2019,7988.155959
10/7/2019,8321.005747
10/14/2019,8222.07826
10/21/2019,9551.714963
10/28/2019,9235.354879
11/4/2019,9055.526057
11/11/2019,8577.975782
11/18/2019,7047.916882
11/25/2019,7424.292265
12/2/2019,7564.345403
12/9/2019,7152.301844
12/16/2019,7511.589042
12/23/2019,7422.652589
12/30/2019,7411.317327
1/6/2020,8192.494005
1/13/2020,8706.24513
1/20/2020,8596.829833
1/27/2020,9344.365293
2/3/2020,10116.67376
2/10/2020,9934.43339
2/17/2020,9924.515228
2/24/2020,8562.45405
3/2/2020,8108.116291
3/9/2020,5392.31488
3/16/2020,5830.254798
3/23/2020,5922.043123
3/30/2020,6791.129441
4/6/2020,6971.091591
4/13/2020,7189.424824
4/20/2020,7679.867204
4/27/2020,8897.46851
5/4/2020,8756.431142
5/11/2020,9670.739371
5/18/2020,8790.368001
5/25/2020,9461.058918
6/1/2020,9758.852417
6/8/2020,9386.787892
6/15/2020,9303.629714
6/22/2020,9143.582191
6/29/2020,9073.942869
7/6/2020,9276.49985
7/13/2020,9185.816912
7/20/2020,9905.167247
7/27/2020,11053.6139
8/3/2020,11675.73934
8/10/2020,11898.27566
8/17/2020,11677.9258
8/24/2020,11458.31014
8/31/2020,10272.44418
9/7/2020,10335.15936
9/14/2020,10933.64152
9/21/2020,10775.26938
9/28/2020,10669.58254
10/5/2020,11384.18195
10/12/2020,11483.35971
10/19/2020,13031.17431
10/26/2020,13737.10983
11/2/2020,15479.56704
11/9/2020,15955.58744
11/16/2020,18370.00252
11/23/2020,18177.48342
11/30/2020,19345.12096
12/7/2020,19142.38253
12/14/2020,23477.2952
12/21/2020,26272.29457
12/28/2020,32782.02447
1/4/2021,38356.43951
1/11/2021,35791.27792
1/18/2021,32289.37809
1/25/2021,33114.35775
2/1/2021,38903.44148
2/8/2021,48717.29021
2/15/2021,57539.94367
2/22/2021,45137.77047
3/1/2021,51206.69295
3/8/2021,59302.31698
3/15/2021,57523.42099
3/22/2021,55950.74577
3/29/2021,58758.55629
4/5/2021,60204.96491
4/12/2021,56216.185
4/19/2021,49004.25326
4/26/2021,56631.07741
5/3/2021,58232.31614
5/10/2021,46456.05847
5/17/2021,34770.58362
5/24/2021,35678.1292
5/31/2021,35862.37773
6/7/2021,39097.8609
6/14/2021,35698.29644
6/21/2021,34649.64459
6/28/2021,35287.77977
7/5/2021,34240.18701
7/12/2021,31796.81014
7/19/2021,35350.18697
7/26/2021,39974.89603
8/2/2021,43798.11768
8/9/2021,47047.00454
8/16/2021,49321.65405
8/23/2021,48829.8326
8/30/2021,51753.41193
9/6/2021,46063.27036
9/13/2021,47260.21733
9/20/2021,43208.5391
9/27/2021,48199.95156
10/4/2021,54771.57918
10/11/2021,61553.61738
10/18/2021,60930.83644
10/25/2021,61318.95777
11/1/2021,63326.98903
11/8/2021,65466.84102
11/15/2021,58730.47664
11/22/2021,57248.45838
11/29/2021,49368.8471
12/6/2021,50098.33514
12/13/2021,46707.01488
12/20/2021,50809.51501
12/27/2021,47345.22056
1/3/2022,41911.60154
1/10/2022,43113.88011
1/17/2022,36276.80469
1/24/2022,37917.60273
1/31/2022,42412.43424
2/7/2022,42197.51534
2/14/2022,38431.37812
2/21/2022,37709.78375
2/28/2022,38419.98338
3/7/2022,37849.6628
3/14/2022,41247.82345
3/21/2022,46820.49346
3/28/2022,46453.56708
4/4/2022,42207.67096
4/11/2022,39716.95423
4/18/2022,39469.29356
4/25/2022,38469.0939
5/2/2022,34059.26425
5/9/2022,31305.11257
5/16/2022,30323.7219
5/23/2022,29445.95762
5/30/2022,29906.66175
6/6/2022,26762.64904
6/13/2022,20553.27182
